0, 0, 0, 133
0, 0, 0, 108
0, 0, 0, 65
0, 0, 0, 64
0, 1, 0, 76
0, 1, 0, 55
1, 4, 0, 50
1, 7, 0, 40
2, 10, 0, 33
6, 23, 0, 43
7, 25, 0, 29
12, 41, 1, 29
14, 46, 0, 35
26, 53, 1, 29
21, 38, 2, 17
21, 22, 11, 23
12, 15, 17, 30
11, 18, 14, 24
4, 10, 28, 20
2, 5, 13, 18
4, 9, 21, 18
6, 3, 7, 24
4, 10, 1, 15
4, 13, 1, 23
4, 18, 0, 17
13, 17, 0, 13
8, 15, 0, 18
9, 17, 1, 19
10, 16, 2, 13
6, 13, 2, 3
10, 11, 0, 5
6, 14, 4, 1
6, 9, 4, 5
4, 13, 2, 3
5, 12, 2, 3
2, 10, 1, 6
3, 5, 1, 4
4, 11, 0, 3
5, 11, 1, 2
2, 15, 1, 2
3, 15, 0, 2
2, 11, 0, 1
2, 15, 1, 0
3, 10, 2, 0
1, 4, 1, 0
0, 7, 5, 1
2, 6, 0, 0
0, 3, 2, 0
0, 8, 0, 0
1, 4, 0, 0
0, 6, 0, 1
0, 3, 1, 0
0, 5, 0, 0
1, 4, 3, 0
0, 2, 0, 0
0, 1, 2, 0
0, 2, 6, 0
0, 1, 1, 1
1, 0, 3, 0
0, 0, 2, 0
0, 0, 3, 0
0, 1, 1, 0
0, 0, 4, 0
0, 0, 2, 0
0, 0, 0, 0
0, 0, 1, 0
0, 0, 1, 0
0, 0, 7, 0
0, 0, 3, 0
0, 0, 5, 0
0, 1, 5, 0
0, 0, 5, 1
0, 0, 3, 0
0, 0, 1, 0
0, 0, 11, 0
1, 0, 4, 0
0, 0, 2, 0
0, 1, 5, 0
0, 0, 3, 0
0, 0, 8, 1
0, 0, 6, 0
0, 0, 5, 0
0, 0, 2, 0
0, 0, 9, 0
0, 0, 14, 1
0, 0, 6, 0
1, 0, 14, 0
0, 0, 8, 0
0, 0, 7, 0
0, 0, 6, 0
0, 0, 11, 0
0, 0, 15, 0
0, 0, 10, 0
0, 0, 7, 1
0, 0, 8, 0
0, 0, 18, 0
0, 0, 9, 1
0, 0, 19, 0
0, 0, 9, 0
1, 0, 26, 0
0, 0, 17, 0
0, 0, 14, 2
1, 0, 22, 2
0, 0, 12, 3
0, 0, 20, 0
0, 0, 17, 1
0, 0, 17, 0
0, 1, 18, 0
0, 0, 23, 1
0, 0, 23, 0
0, 0, 29, 0
0, 0, 34, 0
0, 0, 34, 0
0, 0, 24, 0
1, 0, 33, 2
0, 0, 23, 2
1, 0, 25, 1
0, 0, 31, 1
0, 0, 34, 4
1, 0, 39, 0
0, 0, 38, 4
0, 0, 40, 1
0, 0, 46, 2
0, 0, 38, 0
0, 0, 34, 4
0, 0, 37, 2
0, 0, 51, 0
0, 0, 48, 0
0, 0, 59, 2
0, 0, 50, 1
0, 0, 47, 1
1, 0, 60, 4
0, 0, 54, 3
1, 0, 57, 1
1, 0, 55, 3
1, 0, 69, 3
1, 0, 87, 1
1, 0, 82, 1
0, 0, 68, 3
0, 0, 85, 5
0, 0, 55, 4
0, 0, 71, 6
0, 0, 80, 2
0, 0, 77, 2
0, 0, 85, 2
0, 0, 83, 1
0, 0, 88, 0
0, 0, 86, 2
0, 0, 106, 1
2, 0, 107, 4
2, 0, 99, 5
0, 0, 118, 2
2, 0, 104, 5
0, 0, 122, 6
2, 0, 109, 3
0, 0, 128, 4
1, 1, 102, 5
0, 0, 128, 9
1, 0, 116, 4
0, 0, 121, 7
0, 0, 130, 8
0, 0, 132, 5
1, 0, 116, 11
0, 0, 119, 3
2, 0, 137, 8
1, 0, 134, 4
1, 0, 143, 6
3, 0, 147, 9
2, 0, 141, 5
2, 0, 162, 5
1, 0, 150, 16
2, 0, 148, 13
3, 0, 138, 16
2, 1, 153, 10
0, 1, 152, 9
0, 0, 173, 11
1, 0, 174, 13
1, 0, 177, 15
1, 0, 184, 12
2, 0, 153, 15
2, 0, 157, 18
2, 1, 168, 23
2, 2, 180, 17
3, 0, 151, 21
2, 1, 152, 21
5, 1, 182, 20
2, 0, 155, 30
3, 1, 177, 25
3, 0, 188, 26
2, 1, 209, 33
2, 1, 190, 25
0, 0, 204, 37
1, 0, 159, 19
3, 0, 171, 36
3, 1, 219, 39
1, 2, 209, 34
4, 1, 212, 38
3, 0, 217, 51
